Slice,Count,Total Area,Average Size,%Area,Perim.
C5-BJZ5-D1-8-BDA-Fused 25ov.tiff,37,45.296,1.224,3.416E-4,3.329
C5-BJZ5-D1-8-BDA-Fused 25ov.tiff,64,449.768,7.028,0.003,9.715
C5-BJZ5-D1-8-BDA-Fused 25ov.tiff,33,645.875,19.572,0.005,16.796
C5-BJZ5-D1-8-BDA-Fused 25ov.tiff,31,1152.663,37.183,0.009,23.829
C5-BJZ5-D1-8-BDA-Fused 25ov.tiff,25,1630.674,65.227,0.012,33.040
C5-BJZ5-D1-8-BDA-Fused 25ov.tiff,29,2804.120,96.694,0.021,39.407
C5-BJZ5-D1-8-BDA-Fused 25ov.tiff,23,2999.694,130.421,0.023,46.373
C5-BJZ5-D1-8-BDA-Fused 25ov.tiff,9,1524.627,169.403,0.011,53.536
C5-BJZ5-D1-8-BDA-Fused 25ov.tiff,2,426.853,213.426,0.003,63.623
C5-BJZ5-D1-8-BDA-Fused 25ov.tiff,0,0.000,NaN,0.000,NaN
C5-BJZ5-D1-8-BDA-Fused 25ov.tiff,0,0.000,NaN,0.000,NaN
C5-BJZ5-D1-8-BDA-Fused 25ov.tiff,0,0.000,NaN,0.000,NaN
