Slice,Count,Total Area,Average Size,%Area,Perim.
T1-BJZ5-B1-4-BDA-Fused 25ov.tiff,15,21.316,1.421,2.032E-4,3.973
T1-BJZ5-B1-4-BDA-Fused 25ov.tiff,35,231.812,6.623,0.002,9.189
T1-BJZ5-B1-4-BDA-Fused 25ov.tiff,30,565.407,18.847,0.005,16.609
T1-BJZ5-B1-4-BDA-Fused 25ov.tiff,19,744.994,39.210,0.007,24.253
T1-BJZ5-B1-4-BDA-Fused 25ov.tiff,17,1138.807,66.989,0.011,32.282
T1-BJZ5-B1-4-BDA-Fused 25ov.tiff,19,1844.367,97.072,0.018,38.062
T1-BJZ5-B1-4-BDA-Fused 25ov.tiff,14,1855.558,132.540,0.018,45.022
T1-BJZ5-B1-4-BDA-Fused 25ov.tiff,3,537.163,179.054,0.005,51.839
T1-BJZ5-B1-4-BDA-Fused 25ov.tiff,5,1122.287,224.457,0.011,62.071
T1-BJZ5-B1-4-BDA-Fused 25ov.tiff,0,0.000,NaN,0.000,NaN
T1-BJZ5-B1-4-BDA-Fused 25ov.tiff,0,0.000,NaN,0.000,NaN
T1-BJZ5-B1-4-BDA-Fused 25ov.tiff,0,0.000,NaN,0.000,NaN
