 ,Area,X,Y,Perim.
1,27,2495.167,93.167,18.728
2,22,3190.318,125.773,16.728
3,1,3657.500,330.500,2.828
4,2,2590.500,447.000,4.828
5,58,1587.569,519.741,28.385
6,87,2688.006,677.397,36.971
7,19,1335.079,700.079,15.314
8,9,4491.056,808.833,10.485
9,8,4497.000,808.500,9.899
10,26,1060.154,869.769,20.142
11,18,1052.833,879.000,16.971
12,7,1030.357,906.214,9.071
13,8,992.500,911.000,11.071
14,17,4759.382,997.500,14.142
15,1,4778.500,1013.500,2.828
16,5,4822.300,1048.100,7.071
17,6,4273.667,1204.333,8.485
18,1,3203.500,1271.500,2.828
19,44,4475.477,1307.091,25.799
20,112,1106.893,1330.598,46.284
21,7,4212.071,1330.786,9.657
22,134,974.373,1342.761,48.527
23,10,1405.700,1338.000,10.485
24,69,1231.471,1346.065,30.385
25,126,815.984,1356.222,42.042
26,35,1203.271,1356.500,22.728
27,2,812.500,1371.000,4.828
28,1,2549.500,1397.500,2.828
29,41,2496.476,1458.573,25.799
30,155,4463.810,1658.603,50.870
31,12,2450.083,1653.250,11.899
32,10,2909.100,1763.700,11.899
33,6,2905.333,1768.500,8.485
34,9,3071.500,1807.278,12.485
35,3,4104.833,1811.167,5.657
36,4,4628.500,1812.000,8.828
37,68,4562.912,1842.765,35.799
38,45,1195.389,2112.344,24.385
39,31,4208.790,2129.726,23.556
40,7,4590.786,2449.500,9.071
41,1,1094.500,2521.500,2.828
42,5,2925.700,2593.900,7.657
43,99,2880.803,2613.540,37.556
44,9,2959.611,2617.833,10.485
45,23,2971.978,2655.848,18.142
46,1,3029.500,2684.500,2.828
47,10,3025.300,2691.300,11.899
48,10,3000.300,2697.900,12.728
49,9,4760.056,2703.167,13.657
50,90,5126.222,2707.322,41.456
51,23,4749.935,2709.413,16.728
52,1,2805.500,2709.500,2.828
53,43,4580.686,2720.988,26.971
54,20,3126.100,2761.400,17.314
55,251,3070.922,2778.556,62.426
56,48,2987.083,2783.167,25.556
57,45,2796.567,2818.589,26.385
58,35,2650.786,2830.871,26.627
59,161,2879.972,2848.984,49.941
60,22,3141.091,2849.955,20.142
61,121,2888.690,2869.616,44.870
62,114,4846.272,2869.439,43.113
63,81,4771.191,2871.870,35.799
64,10,2929.300,2897.000,10.485
65,2,3145.500,2898.000,4.828
66,12,3037.667,2907.583,12.485
67,41,3399.988,2914.646,24.142
68,92,3045.359,2917.250,36.627
69,6,2998.000,2936.000,9.657
70,2,3219.500,2935.000,4.828
71,255,2936.731,2946.233,65.012
72,26,3345.154,2942.000,20.142
73,24,3415.875,2942.542,17.899
74,94,2729.202,2950.298,39.213
75,160,4753.062,2952.769,49.113
76,13,3052.115,2946.885,11.899
77,107,3508.350,2957.332,40.627
78,36,3563.750,2960.556,26.385
79,20,4658.100,2961.250,16.142
80,2,3462.500,2963.000,4.828
81,127,4741.232,2970.059,42.870
82,40,3507.725,2970.300,23.556
83,261,3199.109,2980.186,63.598
84,328,2946.860,2991.460,75.255
85,314,2910.659,2998.398,69.012
86,2,3155.500,2988.000,4.828
87,11,2323.409,2994.773,12.485
88,47,3200.564,3006.011,25.799
89,12,3817.583,3010.417,12.485
90,6,2916.000,3011.000,9.657
91,17,3204.206,3014.853,15.314
92,74,3685.757,3019.014,31.213
93,19,3824.711,3019.763,16.142
94,316,4044.538,3029.896,73.255
95,67,4676.082,3025.664,30.385
96,15,3678.300,3028.300,13.899
97,18,3374.389,3034.611,14.728
98,72,4667.306,3037.806,30.385
99,4,4419.250,3038.250,7.657
100,113,3026.500,3044.562,38.870
101,89,4431.758,3044.208,37.456
102,75,3583.380,3050.087,36.627
103,30,3465.733,3047.900,22.971
104,30,4158.200,3050.867,20.142
105,18,4725.444,3055.389,14.728
106,35,2889.957,3062.729,21.556
107,212,3322.811,3069.212,55.113
108,8,1628.625,3064.375,9.071
109,45,4716.011,3067.856,24.971
110,40,4190.425,3079.525,22.142
111,1,3452.500,3082.500,2.828
112,100,3501.000,3087.540,37.213
113,174,3742.655,3089.649,47.698
114,449,3551.308,3097.375,80.912
115,3,3427.500,3092.500,6.243
116,91,2948.269,3104.148,38.627
117,2,3569.000,3099.000,5.657
118,15,3677.567,3100.233,13.314
119,3,4903.167,3099.167,5.657
120,19,2902.132,3102.500,15.314
121,5,2972.900,3111.700,7.657
122,1,5150.500,3116.500,2.828
123,61,2995.139,3128.385,35.213
