 ,Area,X,Y,Perim.
1,25,2229.100,244.460,17.314
2,18,2965.167,756.056,15.314
3,10,3057.000,762.500,11.657
4,11,1146.773,879.773,11.899
5,44,822.477,982.045,24.385
6,38,1182.763,1070.105,24.971
7,14,3008.000,1158.786,12.485
8,2,3848.500,1393.000,4.828
9,6,4293.000,1624.000,9.657
10,80,4320.887,1783.675,38.385
11,2,4043.500,1917.000,4.828
12,9,661.944,1930.833,11.314
13,13,670.038,1934.885,12.485
14,199,4345.565,2046.088,53.698
15,4,807.500,2196.000,7.071
16,3,3984.167,2200.167,5.657
17,117,4377.278,2215.235,41.698
18,31,2926.403,2291.339,23.799
19,17,4253.618,2329.088,13.899
20,48,4242.792,2331.333,25.799
21,28,2568.000,2340.286,21.899
22,9,2930.389,2348.944,10.485
23,3,2928.500,2353.500,6.828
24,145,4182.466,2367.576,47.355
25,1,2198.500,2375.500,2.828
26,4,2196.000,2384.000,5.657
27,134,4106.507,2403.418,42.284
28,33,2917.197,2423.561,21.314
29,14,2894.143,2441.714,13.314
30,9,2799.389,2442.722,12.485
31,37,2801.257,2455.338,26.728
32,174,2858.546,2496.040,51.113
33,3,2358.500,2507.500,6.828
34,69,2585.268,2524.688,31.213
35,15,3999.700,2535.767,14.728
36,320,3710.312,2559.984,67.841
37,27,2580.278,2556.611,18.728
38,92,2638.424,2571.022,38.284
39,34,2895.000,2585.206,20.142
40,6,2087.667,2584.167,9.071
41,12,2601.917,2611.500,13.314
42,78,3052.551,2651.026,33.456
43,385,2694.791,2669.006,87.497
44,229,2641.207,2687.867,60.426
45,2,3149.500,2700.000,4.828
46,32,3904.688,2704.094,20.971
47,24,3274.167,2712.375,21.556
48,257,2579.761,2720.053,61.598
49,172,2827.930,2720.465,49.113
50,7,3144.357,2727.929,10.485
51,90,2972.367,2739.000,35.799
52,347,2681.996,2746.514,71.012
53,40,3542.150,2748.250,22.971
54,90,3536.811,2759.311,34.627
55,69,2465.225,2778.225,34.042
56,125,3468.636,2780.388,40.284
57,5,687.100,2778.300,9.071
58,185,1319.570,2793.003,51.355
59,164,2656.335,2812.762,50.527
60,67,3047.843,2819.873,29.556
61,4,2653.750,2832.750,7.657
62,60,3006.633,2835.650,28.627
63,8,2061.250,2836.500,10.485
64,28,2214.179,2849.500,18.485
65,40,3071.250,2857.575,26.385
66,76,2873.592,2862.513,31.799
67,1,2210.500,2861.500,2.828
68,9,3774.944,2862.611,9.899
69,8,3141.750,2876.875,10.485
70,62,1289.661,2895.532,31.556
71,103,3605.898,2896.005,37.213
72,172,2734.855,2910.366,52.527
73,163,2835.887,2926.598,51.113
74,193,2725.319,2940.899,55.113
75,25,3315.060,2943.700,17.314
76,67,1465.022,2947.619,31.799
77,439,1891.195,2964.509,79.012
78,26,4145.923,2955.269,18.142
79,92,3789.793,2957.946,37.213
80,17,2254.441,2966.735,14.728
81,139,2055.910,2974.665,49.698
82,252,2923.825,2988.401,60.770
83,21,2358.357,2993.643,17.314
84,28,3157.929,2996.393,19.556
85,101,2864.995,3001.401,44.042
86,6,2854.667,3004.667,8.485
87,280,3097.157,3026.279,63.598
88,63,2922.849,3023.421,29.556
89,134,3892.978,3031.433,44.870
90,231,2706.760,3035.842,58.426
91,38,576.342,3049.763,22.385
92,200,2999.010,3057.140,57.698
93,38,3426.553,3058.842,21.556
94,45,3704.233,3066.189,28.385
95,155,3072.506,3071.210,47.456
96,31,4229.210,3071.145,21.556
97,107,2608.164,3074.164,45.213
98,124,3585.411,3076.798,45.698
99,10,2729.400,3077.700,11.071
100,44,1871.523,3082.295,26.385
101,19,3243.500,3083.500,15.314
102,1,3420.500,3083.500,2.828
103,201,2714.440,3099.162,53.698
104,242,3341.033,3105.219,57.598
105,63,3158.548,3118.421,32.627
106,143,3074.136,3124.199,48.527
107,282,2741.032,3125.000,64.770
108,119,2169.139,3126.853,42.284
109,31,2968.016,3123.661,20.728
110,68,1697.000,3129.353,32.971
111,37,3664.662,3134.365,26.142
112,122,3698.189,3142.541,40.042
113,10,3417.000,3151.500,10.485
114,7,2029.214,3166.071,9.657
115,56,2217.161,3177.196,29.556
116,21,4133.214,3181.500,18.142
117,32,2875.688,3184.281,22.142
118,182,2964.280,3190.093,54.770
119,197,2888.632,3197.195,52.527
120,254,2767.555,3197.941,61.698
121,20,2727.900,3200.650,16.142
122,236,2723.839,3228.284,58.426
123,13,2631.654,3221.654,13.899
124,48,3506.750,3248.208,25.556
125,185,3026.981,3255.019,52.527
126,72,2765.736,3256.153,30.971
127,142,2166.930,3262.387,46.284
128,16,2609.250,3256.625,15.071
129,1,2289.500,3258.500,2.828
130,48,2295.375,3266.583,25.556
131,216,2898.032,3295.986,56.184
132,9,2191.389,3292.833,10.485
133,193,4185.723,3298.909,52.284
134,145,2960.762,3302.617,53.355
135,420,2985.567,3314.331,93.054
136,163,3217.199,3305.887,49.456
137,131,3381.615,3305.233,44.284
138,9,2195.611,3303.944,10.485
139,188,2812.048,3316.441,54.527
140,184,1902.978,3327.880,50.042
141,4,4051.500,3325.250,7.071
142,84,1729.738,3424.417,39.213
143,261,2829.347,3428.891,61.598
144,106,3317.255,3432.085,38.627
145,15,2771.967,3431.100,15.314
146,191,3431.720,3489.223,51.113
147,215,3020.653,3494.653,56.770
148,341,2958.570,3514.606,74.184
149,22,2762.000,3571.500,16.142
150,8,2879.375,3574.625,9.071
151,286,3302.094,3592.469,76.326
152,39,2768.038,3586.321,22.971
153,241,3178.048,3611.367,65.255
154,432,2792.451,3622.521,80.770
155,42,3609.048,3646.048,28.728
156,430,3095.979,3685.049,84.811
157,17,3076.147,3676.794,15.314
